ABBV
ACAS
ACHC
ACIW
ADAP
ADMS
AEG
AEE
AEM
AES
AET
AEUA
AF
AFL
AG
AGI
AGO
AIRM
AJG
AL
ALL
ALOG
ALRM
ALTR
ALXN
AMCC
AMED
AMKR
AMTD
ANTM
AOS
APO
ARCB
ASGN
ASPS
ASTE
ATSG
AVA
AVAL
AVGO
AVAV
AVT
AWI
AXDX
AYA
AZPN
BAC
BA
BAH
BAK
AXTA
BBBY
BBCN
BBD
BDC
BEL
BECN
BEN
BFR
BG
BGG
BGS
BIG
BIP
BKE
BLL
BLK
BMI
BMR
BMS
BMY
BOBE
BLUE
BP
BPMC
BRC
BURL
BVN
BWA
CAB
CACC
CACQ
CAH
CAKE
CATM
CBM
CC
CCO
CERS
CHDN
CHUY
CIR
CKH
CLDT
CLMT
CM
CMCM
CMCSA
CMN
CMP
CMRX
CNA
CNC
CNK
CNL
COLB
COMM
COR
CPGX
CPRT
CRUS
CS
COO
CSAL
CSGP
CSIQ
CSOD
CSU
CSX
CST
CTLT
CTRP
CTS
CTXS
CUBE
CVC
CVT
CWT
CXP
CZR
DBVT
DCUA
DD
DEPO
DERM
DE
DISH
DK
DLR
DMND
DOC
DRE
DRH
DRII
DSW
DUK
DVA
DWRE
DXCM
DYAX
DYN
EA
EAT
EBS
ECPG
ECHO
EEP
EEQ
EGN
EGOV
EME
ENH
ENLC
ENS
ENT
ENV
EPC
EQR
ERF
ERIC
ERN
ESL
ESNT
ESRX
ESS
ETN
EURN
EXAM
EXC
EXLS
EZCH
FCH
FCFS
FCS
FEIC
FET
FGEN
FICO
FITB
FIT
FIZZ
FLTX
FNB
FNV
FOXA
FRC
FRME
FRO
FSLR
FSS
FTD
FTR
FUL
GCI
GD
GOLD
GOGO
GPI
GPN
GPOR
GRFS
GSM
GTS
GWB
GWR
H
HAE
HASI
HAWK
HBAN
HCA
HD
HEES
HE
HEI
HF
HFWA
HIW
HLS
HNI
HNP
HMIN
HOG
HOLX
HPT
HRC
HRG
HSC
HTH
HUBG
HXL
HY
IACI
IBM
IBOC
ICLR
ICUI
IDA
IFF
IHS
IILG
IM
INCR
INDB
INSM
INVN
IOSP
IPG
IPGP
IPHS
ISCA
ITCI
ITG
JAZZ
JBL
JBT
JD
JNS
JOE
K
KALU
KEYS
KERX
KIM
KMI
KNL
KNDI
KWR
LAD
LC
LMCK
LNT
LOW
LPI
LPT
LSTR
LTRPA
LUV
LXK
LXP
LYG
M
LVNTA
MAA
MAC
MAR
MAT
MCO
MCY
MDP
MDR
MDXG
MEG
MET
MGEE
MIC
MIK
MINI
MKL
MKTO
MKTX
MLM
MMC
MMP
MOMO
MON
MPC
MRD
MRO
MRTX
MSA
MSCI
MSTR
MTG
MTGE
MTSI
MTU
MYGN
NBIX
NBL
NCLH
NCMI
NFG
NFX
NGHC
NGL
NGLS
NJ
NKTR
NLS
NLSN
NLY
NMR
NNI
NOAH
NORD
NOV
NPO
NRG
NS
NSH
NSIT
NSU
NTGR
NTI
NUVA
NVAX
NVDQ
NVS
NVRO
NWSA
NYRT
NYT
OFC
OFIX
OHI
OIS
ONDK
OPHT
OPWR
OSIS
PAA
PAC
PACB
PAG
PATK
PAYX
PBCT
PBF
PBFX
PDLI
PDS
PEB
PFPT
PGND
PGRE
PHG
PKX
PKY
PLD
PLXS
PNC
PNRA
PNW
PNY
POST
POT
POWI
POM
PRA
PRFT
PRGO
PSB
PSEC
PSO
PSX
PTCT
PTEN
PUK
PZZA
QCOM
QGEN
QLGC
RBA
RAX
REG
RDUS
RENX
RF
RFP
RICE
ROCK
ROK
ROST
ROVI
RTRX
RUBI
RXN
SAFT
SAGE
SAIC
SBAC
SBSI
SBUX
SCHW
SCL
SCSS
SFUN
SGEN
SFM
SGMO
SHOR
SIRI
SPH
SPLS
SRPT
SSL
SSNC
STAR
STKL
STT
SU
SUPN
SYA
SYNT
SYT
TCK
TCO
TCP
TGS
TGTX
TGT
THRX
TLK
TLLP
TMUS
TRNO
TRMK
TROX
TRP
TRU
TRV
TRVN
TRST
TSLA
TSS
TTWO
TU
TV
TXRH
UAM
UBNK
UBS
UNFI
USAC
V
VECO
VEDL
VEEV
VGR
VIRT
VIP
VLO
VNTV
VRSK
VSH
VVI
WAB
W
WAGE
WDFC
WEN
WEX
WLH
WMK
WNRL
WPP
WTFCM
WTR
WTW
WWAV
WWD
WYNN
XEC
WRB
XLNX
XYL
YY
ZLTQ
